county,employment_1990,employment_2015,wages_1990,wages_2015
"Bullitt County, Kentucky",6904,21898,571.221,631
"Jefferson County, Missouri",31118,45717,627.4364,631
"Breathitt County, Kentucky",3822,3186,652.824,631
"Thayer County, Nebraska",1931,2509,437.0294,632
"Hall County, Texas",852,897,478.7376,632
"DeKalb County, Tennessee",4676,5051,515.0056,632
"Bedford County, Pennsylvania",12497,14914,534.953,632
"Jennings County, Indiana",6135,7109,542.2066,632
"Independence County, Arkansas",13233,14661,594.7952,632
"Big Stone County, Minnesota",1656,1675,438.8428,633
"Hancock County, Georgia",1728,1628,446.0964,633
"Kearney County, Nebraska",1783,2243,484.1778,633
"Tangipahoa Parish, Louisiana",22206,41203,487.8046,633
"Pondera County, Montana",1578,1682,507.752,633
"Cass County, Iowa",5596,6086,518.6324,633
"Payette County, Idaho",4125,5935,544.02,633
"Franklin County, Tennessee",7027,11564,545.8334,633
"Baker County, Oregon",4392,5013,558.5272,633
"Door County, Wisconsin",9603,11476,562.154,633
"Habersham County, Georgia",12125,14389,580.288,633
"Caldwell County, North Carolina",30096,23058,585.7282,633
"Presque Isle County, Michigan",3047,2743,589.355,633
"Switzerland County, Indiana",1411,1976,467.8572,634
"Childress County, Texas",1631,2361,496.8716,634
"Delta County, Colorado",4633,7980,505.9386,634
"Valley County, Montana",2372,3086,505.9386,634
"Bladen County, North Carolina",7648,12712,538.5798,634
"Liberty County, Florida",1405,1904,547.6468,634
"Marshall County, Alabama",29785,33940,554.9004,634
"Lowndes County, Georgia",31714,47880,583.9148,634
"Labette County, Kansas",9704,9062,583.9148,634
"Clark County, Wisconsin",7420,10570,520.4458,635
"Jackson County, Florida",13320,14141,540.3932,635
"Miami County, Kansas",5934,7827,549.4602,635
"Chatham County, North Carolina",12138,14156,591.1684,635
"Washington County, Maine",10253,9409,612.9292,635
"Miner County, South Dakota",933,718,393.5078,636
"Swain County, North Carolina",4322,8409,449.7232,636
"Haakon County, South Dakota",763,761,453.35,636
"Spink County, South Dakota",2270,2293,460.6036,636
"Lake County, Montana",5165,8134,527.6994,636
"Coosa County, Alabama",2157,1277,551.2736,636
"Randolph County, North Carolina",41267,44045,562.154,636
"Rio Grande County, Colorado",3627,3700,569.4076,636
"Clarion County, Pennsylvania",12402,13355,621.9962,636
"Bonneville County, Idaho",27211,45743,660.0776,636
"Dickey County, North Dakota",1684,1955,429.7758,637
"Dewey County, South Dakota",1437,2128,487.8046,637
"Cuming County, Nebraska",3278,3851,491.4314,637
"Luna County, New Mexico",3966,7249,493.2448,637
"Livingston Parish, Louisiana",8578,25217,511.3788,637
"Jefferson County, Kansas",2598,3514,513.1922,637
"Dade County, Georgia",2467,3308,529.5128,637
"Orleans County, Vermont",8128,10657,547.6468,637
"Schley County, Georgia",1011,992,553.087,637
"Lincoln County, Mississippi",9834,11402,560.3406,637
"Upson County, Georgia",9655,6710,560.3406,637
"Beaverhead County, Montana",2460,3595,578.4746,637
"Halifax County, Virginia",8482,12020,600.2354,637
"Orange County, Virginia",7126,8750,623.8096,637
"Sedgwick County, Colorado",783,797,420.7088,638
"Johnston County, Oklahoma",1940,2851,466.0438,638
"Seminole County, Oklahoma",6600,7389,498.685,638
"Clay County, Kentucky",3766,4020,500.4984,638
"Acadia Parish, Louisiana",11873,14587,511.3788,638
"Jerome County, Idaho",3770,9578,515.0056,638
"Richland County, Illinois",6140,5952,518.6324,638
"Henry County, Tennessee",9388,11030,545.8334,638
"Jackson County, Ohio",8314,10176,567.5942,638
"Falls County, Texas",3592,3003,567.5942,638
"Jefferson County, Georgia",5594,4506,574.8478,638
"Huntington County, Indiana",14044,14048,585.7282,638
"Harney County, Oregon",2395,2196,605.6756,638
"Chambers County, Alabama",13648,7959,611.1158,638
"Barren County, Kentucky",13207,16256,636.5034,638
"Hamlin County, South Dakota",1055,1674,433.4026,639
"Wayne County, Nebraska",2628,4061,482.3644,639
"Toombs County, Georgia",8945,11487,500.4984,639
"Asotin County, Washington",3459,5710,504.1252,639
"Valley County, Idaho",2200,3824,516.819,639
"Hill County, Montana",5112,6787,533.1396,639
"Carbon County, Pennsylvania",14745,16860,547.6468,639
"Hale County, Texas",11591,11661,551.2736,639
"Clinton County, Illinois",8518,11943,569.4076,639
"Smyth County, Virginia",13448,11945,603.8622,639
"Grant County, North Dakota",561,588,406.2016,640
"Overton County, Tennessee",4103,4324,449.7232,640
"McCone County, Montana",476,578,502.3118,640
"Lincoln County, Missouri",5669,10789,520.4458,640
"Yuma County, Arizona",46121,72770,527.6994,640
"Ware County, Georgia",13390,14428,551.2736,640
"Morgan County, Indiana",12585,14744,582.1014,640
"Lee County, South Carolina",3673,3359,583.9148,640
"New Kent County, Virginia",1719,3919,592.9818,640
"Montgomery County, Kansas",15789,15764,598.422,640
"Anderson County, Kentucky",2884,4437,631.0632,640
"Haywood County, North Carolina",14193,16414,672.7714,640
"Kingsbury County, South Dakota",1480,1622,451.5366,641
"Hanson County, South Dakota",458,585,478.7376,641
"Lancaster County, Virginia",3879,4163,522.2592,641
"Pottawatomie County, Oklahoma",15513,22597,574.8478,641
"Todd County, Minnesota",5454,5797,580.288,641
"Ashland County, Wisconsin",6554,7771,585.7282,641
"Mercer County, West Virginia",20560,19765,607.489,641
"Oxford County, Maine",16878,16884,640.1302,641
"Fayette County, Indiana",11145,6252,790.6424,641
"Hale County, Alabama",3051,2761,455.1634,642
"Gogebic County, Michigan",5509,5655,467.8572,642
"Adair County, Iowa",2218,2729,509.5654,642
"Pulaski County, Missouri",10116,13106,524.0726,642
"Tama County, Iowa",4453,5275,551.2736,642
"Jones County, North Carolina",1450,1503,556.7138,642
"Kent County, Texas",241,286,563.9674,642
"Pierce County, Wisconsin",8036,9336,574.8478,642
"Modoc County, California",2467,2258,587.5416,642
"Polk County, Georgia",9128,11321,594.7952,642
"Jay County, Indiana",6818,7358,600.2354,642
"Lauderdale County, Mississippi",31224,33224,614.7426,642
"Iron County, Michigan",3496,3659,618.3694,642
"Burke County, North Carolina",35952,29324,623.8096,642
"Bannock County, Idaho",21116,31544,627.4364,642
"Butler County, Iowa",2809,3611,476.9242,643
"Clayton County, Iowa",5252,6506,518.6324,643
"Allen County, Kentucky",3715,4103,549.4602,643
"Meade County, Kentucky",2707,4176,632.8766,643
"Buffalo County, South Dakota",302,508,636.5034,643
"Luce County, Michigan",1958,1864,652.824,643
"Griggs County, North Dakota",740,914,485.9912,644
"Crawford County, Wisconsin",4822,7079,502.3118,644
"Barry County, Missouri",11202,13509,516.819,644
"Henderson County, Texas",10970,16060,534.953,644
"Clay County, Illinois",4661,5131,536.7664,644
"Amelia County, Virginia",1793,2305,563.9674,644
"Putnam County, Indiana",9103,12335,565.7808,644
"Okmulgee County, Oklahoma",7980,9890,569.4076,644
"Rockingham County, North Carolina",32162,25686,645.5704,644
"Cass County, Michigan",9018,8656,683.6518,644
"Cibola County, New Mexico",4397,7958,540.3932,645
"Hardeman County, Texas",1371,1105,553.087,645
"Danville City, Virginia",27276,25510,563.9674,645
"Jackson County, North Carolina",8609,12297,567.5942,645
"Buckingham County, Virginia",2491,3199,582.1014,645
"Warren County, Tennessee",12272,13422,587.5416,645
"Edgecombe County, North Carolina",21114,16161,602.0488,645
"Charlotte County, Florida",27885,44924,605.6756,645
"Randolph County, Missouri",8920,9551,611.1158,645
"Lawrence County, South Dakota",8507,11211,614.7426,645
"Herkimer County, New York",18045,15772,625.623,645
"Rock County, Nebraska",554,434,408.015,646
"Johnson County, Nebraska",1437,1640,456.9768,646
"Gunnison County, Colorado",5284,7912,464.2304,646
"Roosevelt County, Montana",3297,3703,525.886,646
"Wahkiakum County, Washington",605,705,540.3932,646
"Butler County, Kansas",11449,18599,542.2066,646
"Coryell County, Texas",9188,14950,576.6612,646
"Stanton County, Kansas",704,748,576.6612,646
"Knott County, Kentucky",2972,2470,690.9054,646
"Seneca County, Ohio",20959,18600,694.5322,646
"Edmunds County, South Dakota",871,1187,409.8284,647
"Palo Alto County, Iowa",2812,3694,462.417,647
"Washington County, Kentucky",2133,3283,475.1108,647
"Grant County, Wisconsin",15071,17438,513.1922,647
"St. Landry Parish, Louisiana",17645,23803,540.3932,647
"St. Francis County, Arkansas",7913,7812,540.3932,647
"Marquette County, Wisconsin",2598,3550,545.8334,647
"LaSalle Parish, Louisiana",3739,4553,551.2736,647
"Scott County, Kansas",1856,2180,553.087,647
"Castro County, Texas",2378,2567,554.9004,647
"Columbia County, Washington",1125,1276,558.5272,647
"Madison County, Texas",3124,5156,563.9674,647
"Vernon County, Missouri",6655,7111,565.7808,647
"Whitley County, Kentucky",9498,11496,569.4076,647
"Wilkes County, North Carolina",24405,21077,587.5416,647
"Greenbrier County, West Virginia",10744,12872,587.5416,647
"Kanabec County, Minnesota",3251,3545,591.1684,647
"Alleghany County, Virginia",3811,3784,632.8766,647
"Vinton County, Ohio",2525,2175,634.69,647
"Guaynabo Municipio, Puerto Rico",27641,45402,288.3306,648
"Gooding County, Idaho",3067,5730,478.7376,648
"St. Helena Parish, Louisiana",1199,1424,493.2448,648
"Piatt County, Illinois",3248,3200,573.0344,648
"Lake County, Florida",45941,88819,583.9148,648
"Lincoln County, Maine",8103,9609,620.1828,648
"Adams County, Indiana",11974,13098,625.623,648
"Graves County, Kentucky",10203,10711,670.958,648
"Hamilton County, Kansas",788,1285,482.3644,649
"Crawford County, Missouri",4678,6383,496.8716,649
"Monroe County, Tennessee",8509,13480,504.1252,649
"Vernon Parish, Louisiana",10782,13577,505.9386,649
"Lane County, Kansas",772,678,516.819,649
"Russell County, Kansas",2992,2825,518.6324,649
"Boone County, Arkansas",12043,13615,531.3262,649
"Okeechobee County, Florida",8236,10779,544.02,649
"Otero County, New Mexico",15318,17494,602.0488,649
"Jefferson County, Oregon",4620,6317,623.8096,649
"Hardin County, Ohio",7793,8306,638.3168,649
"Kiowa County, Colorado",386,407,485.9912,650
"Cotton County, Oklahoma",1062,1461,525.886,650
"Colfax County, Nebraska",3486,5044,531.3262,650
"Meeker County, Minnesota",6089,7154,544.02,650
"Cherokee County, Iowa",4854,4672,573.0344,650
"Santa Rosa County, Florida",17029,34212,576.6612,650
"Ford County, Kansas",13130,17241,583.9148,650
"Park County, Colorado",823,2102,583.9148,650
"Winnebago County, Iowa",6394,4207,598.422,650
"Clearwater County, Idaho",2960,2658,632.8766,650
"Simpson County, Kentucky",6732,8571,663.7044,650
"Jasper County, Iowa",11963,10898,741.6806,650
"Brown County, Kansas",3983,4980,493.2448,651
"Hertford County, North Carolina",7879,8789,524.0726,651
"Warren County, Illinois",5720,6151,525.886,651
"Lincoln County, Washington",2185,2697,533.1396,651
"Northumberland County, Virginia",1854,2157,574.8478,651
"Newton County, Indiana",3734,3354,591.1684,651
"Lenoir County, North Carolina",28212,27337,592.9818,651
"Skamania County, Washington",1706,2017,616.556,651
"Shiawassee County, Michigan",16670,15941,651.0106,651
"Custer County, Nebraska",3379,4212,467.8572,652
"Fulton County, Kentucky",2866,2156,471.484,652
"Franklin County, Texas",1477,3099,511.3788,652
"Wood County, Texas",6410,9371,524.0726,652
"Clarke County, Iowa",3079,4239,563.9674,652
"Barbour County, Alabama",9208,8167,565.7808,652
"Adams County, Nebraska",13975,14865,569.4076,652
"Winn Parish, Louisiana",4350,4877,583.9148,652
"Mariposa County, California",4681,4639,602.0488,652
"Fairfield County, Ohio",26865,41333,645.5704,652
"Coos County, New Hampshire",13515,11694,656.4508,652
"Lincoln County, Montana",5262,4880,669.1446,652
"Wise County, Virginia",13398,12331,754.3744,652
"Craig County, Virginia",516,618,482.3644,653
"Davis County, Iowa",1778,1922,491.4314,653
"Todd County, South Dakota",1862,2752,509.5654,653
"Marion County, Tennessee",5571,6973,516.819,653
"Norton County, Kansas",2082,2517,531.3262,653
"Grant County, Arkansas",3258,3922,540.3932,653
"Madison County, Montana",1318,4353,554.9004,653
"Aroostook County, Maine",29523,26725,583.9148,653
"Seward County, Kansas",9391,11564,605.6756,653
"Fulton County, Indiana",6340,6050,612.9292,653
"Bath County, Virginia",2064,2236,616.556,653
"Essex County, Vermont",1524,1010,651.0106,653
"Obion County, Tennessee",14262,9566,712.6662,653
"Sibley County, Minnesota",3309,3867,464.2304,654
"Obrien County, Iowa",5233,6600,484.1778,654
"Niobrara County, Wyoming",709,890,493.2448,654
"Williamsburg County, South Carolina",10910,9332,533.1396,654
"Bosque County, Texas",3285,3831,544.02,654
"Dorchester County, South Carolina",17681,31168,549.4602,654
"Bradford County, Florida",5574,6308,554.9004,654
"Wayne County, North Carolina",39008,41793,565.7808,654
"Idaho County, Idaho",3520,4010,571.221,654
"Trinity County, California",2902,2469,625.623,654
"Wabash County, Indiana",14031,12235,645.5704,654
"Hubbard County, Minnesota",3193,5286,498.685,655
"Sampson County, North Carolina",14764,17905,515.0056,655
"Hitchcock County, Nebraska",684,674,515.0056,655
"Cottle County, Texas",657,369,522.2592,655
"Rock County, Minnesota",2888,3469,525.886,655
"Brown County, Ohio",6035,7665,534.953,655
"Oktibbeha County, Mississippi",13053,19129,591.1684,655
"Etowah County, Alabama",33568,34837,670.958,655
"Nicholas County, West Virginia",7304,7798,705.4126,655
"Nemaha County, Kansas",3819,5437,500.4984,656
"Washita County, Oklahoma",2198,2090,500.4984,656
"Franklin County, Arkansas",3409,4472,513.1922,656
"St. Clair County, Alabama",9236,18304,567.5942,656
"Mohave County, Arizona",25691,46440,571.221,656
"Marshall County, Illinois",2992,2949,596.6086,656
"Scioto County, Ohio",19754,22870,598.422,656
"Washington Parish, Louisiana",10202,10388,598.422,656
"Madison County, Indiana",48132,37600,897.633,656
"Bryan County, Oklahoma",8504,15115,429.7758,657
"Audubon County, Iowa",1771,1708,455.1634,657
"Treasure County, Montana",189,179,475.1108,657
"Wichita County, Kansas",803,777,507.752,657
"Union County, Mississippi",7467,10025,549.4602,657
"Appanoose County, Iowa",3898,4512,553.087,657
"Lincoln County, Oregon",13251,17015,556.7138,657
"Hampton County, South Carolina",5512,4541,558.5272,657
"Jasper County, Mississippi",3213,3823,558.5272,657
"Sumter County, South Carolina",33807,36494,569.4076,657
"Montezuma County, Colorado",5552,8552,574.8478,657
"Pawnee County, Kansas",2842,3071,578.4746,657
"Menominee County, Michigan",7788,7254,592.9818,657
"Oceana County, Michigan",4069,5719,592.9818,657
"Barrow County, Georgia",8573,17595,618.3694,657
"Scotland County, North Carolina",15600,11631,636.5034,657
"Isabella County, Michigan",18770,28841,645.5704,657
"Letcher County, Kentucky",6546,4602,683.6518,657
"Montgomery County, Tennessee",24044,49319,562.154,658
"Dickson County, Tennessee",9081,15502,573.0344,658
"Columbiana County, Ohio",29785,30201,600.2354,658
"Conway County, Arkansas",5771,6960,600.2354,658
"Chippewa County, Michigan",10199,12452,605.6756,658
"Mendocino County, California",25769,30798,669.1446,658
"Scott County, Illinois",1218,1028,904.8866,658
"Medina County, Texas",5295,9227,493.2448,659
"Merrick County, Nebraska",1799,2278,509.5654,659
"Edgefield County, South Carolina",4822,6079,513.1922,659
"Warren County, Iowa",6355,10243,515.0056,659
"Norman County, Minnesota",1748,1553,515.0056,659
"Jones County, Iowa",5143,6342,525.886,659
"Barron County, Wisconsin",14733,20926,558.5272,659
"Pasco County, Florida",63990,108056,560.3406,659
"Tillamook County, Oregon",5728,8747,560.3406,659
"Scotts Bluff County, Nebraska",14313,16635,565.7808,659
"Buffalo County, Wisconsin",3254,3554,627.4364,659
"Reno County, Kansas",25840,26763,651.0106,659
"Harlan County, Kentucky",9991,6406,728.9868,659
"Clare County, Michigan",6022,6333,500.4984,660
"Dallas County, Alabama",16618,12756,545.8334,660
"Pontotoc County, Oklahoma",11680,18082,547.6468,660
"Yakima County, Washington",68982,100371,563.9674,660
"Knox County, Maine",13233,15996,571.221,660
"Barton County, Kansas",12668,12660,578.4746,660
"Harvey County, Kansas",11230,13990,585.7282,660
"Brown County, Texas",11585,15381,591.1684,660
"Douglas County, Georgia",18075,39303,605.6756,660
"Adams County, Ohio",5109,5590,614.7426,660
"Miami County, Indiana",10000,9161,618.3694,660
"Lincoln County, Nevada",1794,1151,988.303,660
"Thomas County, Nebraska",188,242,362.68,661
"Henry County, Kentucky",2506,2650,540.3932,661
"Dodge County, Nebraska",12753,16766,545.8334,661
"Montgomery County, Kentucky",6388,10696,547.6468,661
"Greene County, Arkansas",10457,15443,563.9674,661
"Moore County, North Carolina",24648,32446,565.7808,661
"Perry County, Indiana",5154,6362,569.4076,661
"Socorro County, New Mexico",4053,5172,569.4076,661
"Barbour County, West Virginia",2907,3410,578.4746,661
"Finney County, Kansas",16348,18437,589.355,661
"Baldwin County, Georgia",17961,15085,616.556,661
"Cherokee County, South Carolina",18240,18757,621.9962,661
"Randolph County, Indiana",8562,7236,651.0106,661
"Morgan County, Ohio",4117,2615,846.8578,661
"Cottonwood County, Minnesota",4156,4757,496.8716,662
"Goshen County, Wyoming",3473,4413,524.0726,662
"Polk County, Wisconsin",9053,15535,527.6994,662
"Johnson County, Indiana",27188,47686,569.4076,662
"Coke County, Texas",873,651,609.3024,662
"Schoharie County, New York",6982,7942,634.69,662
"Coos County, Oregon",19154,21656,660.0776,662
"Harding County, New Mexico",177,173,698.159,662
"Douglas County, Illinois",5682,7067,743.494,662
"Grant County, Minnesota",1633,1820,473.2974,663
"Wasatch County, Utah",2347,7309,491.4314,663
"Shelby County, Texas",6114,8587,493.2448,663
"Emmet County, Iowa",3887,4038,495.0582,663
"Clay County, South Dakota",4097,5547,520.4458,663
"Webb County, Texas",42211,96587,522.2592,663
"Putnam County, Tennessee",24853,33869,547.6468,663
"Taylor County, Wisconsin",6499,7752,602.0488,663
"Marshall County, Indiana",16062,18722,611.1158,663
"Saline County, Kansas",24386,29925,621.9962,663
"Blackford County, Indiana",4549,3155,632.8766,663
"Perry County, Illinois",6746,4853,725.36,663
"Richland County, Ohio",58319,49775,730.8002,663
"Henry County, Alabama",4552,3384,520.4458,664
"Montgomery County, Iowa",4921,4204,545.8334,664
"Marion County, Florida",63021,96021,591.1684,664
"Citrus County, Florida",21985,31358,609.3024,664
"Van Wert County, Ohio",10705,10544,681.8384,664
"Gallatin County, Illinois",2169,1010,727.1734,664
"Juniata County, Pennsylvania",5503,5996,518.6324,665
"Franklin County, Kansas",6367,9163,547.6468,665
"White County, Arkansas",16094,24375,560.3406,665
"Knox County, Indiana",14869,17402,583.9148,665
"Le Flore County, Oklahoma",8781,13618,592.9818,665
"Orange County, Vermont",6672,7507,592.9818,665
"Imperial County, California",47329,64234,598.422,665
"Davidson County, North Carolina",46592,41367,605.6756,665
"Marion County, Illinois",15024,12843,618.3694,665
"Grant County, Oregon",2536,2210,621.9962,665
"Clatsop County, Oregon",12952,16608,660.0776,665
"Livingston County, New York",18294,19733,674.5848,665
"Curry County, New Mexico",11092,17277,520.4458,666
"Currituck County, North Carolina",2205,5705,529.5128,666
"Union County, Iowa",5148,6264,551.2736,666
"Buchanan County, Iowa",4686,6278,556.7138,666
"Chippewa County, Minnesota",4510,5474,563.9674,666
"Adams County, Wisconsin",2629,4118,591.1684,666
"Union County, Oregon",7966,9513,607.489,666
"Putnam County, Florida",16153,16379,643.757,666
"Cass County, Texas",6972,7234,651.0106,666
"Allegany County, Maryland",27270,28561,670.958,666
"Yellow Medicine County, Minnesota",3468,3940,511.3788,667
"Franklin County, Mississippi",1655,1698,529.5128,667
"Hartley County, Texas",471,2262,544.02,667
"Sabine County, Texas",1821,2217,563.9674,667
"Greene County, Tennessee",23292,24988,565.7808,667
"Jefferson County, Tennessee",9468,12720,565.7808,667
"Clay County, Florida",25906,47115,576.6612,667
"Atchison County, Kansas",5775,5924,592.9818,667
"Marshall County, Tennessee",9767,8315,625.623,667
"Stark County, Illinois",1320,1259,661.891,667
"Wayne County, Indiana",31291,29579,663.7044,667
"Prairie County, Montana",289,297,384.4408,668
"Crosby County, Texas",1870,1435,500.4984,668
"Neshoba County, Mississippi",8463,12078,520.4458,668
"York County, Nebraska",5830,7279,533.1396,668
"Fall River County, South Dakota",2221,2267,534.953,668
"Pasquotank County, North Carolina",11755,15370,538.5798,668
"Cass County, Nebraska",3185,5184,549.4602,668
"Glacier County, Montana",3212,3879,574.8478,668
"Cherokee County, Kansas",5594,6047,576.6612,668
"Sauk County, Wisconsin",21309,34779,582.1014,668
"Pepin County, Wisconsin",1865,2102,598.422,668
"Crawford County, Ohio",15739,13032,634.69,668
"Paulding County, Ohio",4108,4697,634.69,668
"Miller County, Arkansas",12751,13194,647.3838,668
"Hendricks County, Indiana",16870,60091,672.7714,668
"Banner County, Nebraska",129,159,485.9912,669
"Callahan County, Texas",1478,2125,507.752,669
"Pocahontas County, Iowa",2904,2787,525.886,669
"Hood River County, Oregon",7732,12261,547.6468,669
"San Juan County, Utah",3251,3876,571.221,669
"Orangeburg County, South Carolina",30302,29668,574.8478,669
"Chesterfield County, South Carolina",14533,14162,587.5416,670
"White County, Indiana",8117,8860,625.623,670
"Titus County, Texas",12005,15337,656.4508,670
"Millard County, Utah",3454,4456,680.025,670
"Wayne County, Iowa",1858,1884,485.9912,671
"Lincoln County, Colorado",1420,2085,491.4314,671
"Runnels County, Texas",3420,2875,518.6324,671
"Accomack County, Virginia",11392,12113,560.3406,671
"Columbia County, Florida",13330,22974,569.4076,671
"Yavapai County, Arizona",27018,58789,578.4746,671
"Lincoln County, North Carolina",15355,21548,585.7282,671
"Craighead County, Arkansas",29082,46041,591.1684,671
"Wells County, Indiana",9055,10415,625.623,671
"Columbia County, Oregon",9267,10400,774.3218,671
"Pulaski County, Georgia",2400,2765,495.0582,672
"Custer County, South Dakota",1669,1869,520.4458,672
"Baker County, Georgia",645,410,527.6994,672
"Winneshiek County, Iowa",7413,9925,540.3932,672
"Bastrop County, Texas",5911,16228,551.2736,672
"Logan County, Colorado",6427,8308,551.2736,672
"Osceola County, Florida",37236,82902,556.7138,672
"Wadena County, Minnesota",4163,5800,562.154,672
"Cullman County, Alabama",20174,26961,589.355,672
"Siskiyou County, California",13245,12441,596.6086,672
"Hart County, Georgia",7398,5942,603.8622,672
"Washington County, Virginia",15686,19815,640.1302,672
"Waupaca County, Wisconsin",15600,19683,574.8478,673
"Moody County, South Dakota",1676,2248,598.422,673
"Walker County, Alabama",18361,18267,703.5992,673
"Cedar County, Iowa",4441,5465,464.2304,674
"Benton County, Iowa",4554,5536,496.8716,674
"Wabasha County, Minnesota",4886,6668,563.9674,674
"Columbia County, Georgia",12602,30759,571.221,674
"Clay County, Nebraska",2078,2480,573.0344,674
"Alexander County, Illinois",2245,1293,573.0344,674
"Bedford County, Tennessee",11506,18091,574.8478,674
"Haywood County, Tennessee",5584,4785,587.5416,674
"Kootenai County, Idaho",22580,52932,591.1684,674
"Mercer County, Ohio",14894,18805,667.3312,674
"Box Elder County, Utah",14926,17737,894.0062,674
"Pickens County, Alabama",4550,3707,475.1108,675
"Bibb County, Alabama",3886,4002,491.4314,675
"Lamoille County, Vermont",8717,12362,505.9386,675
"Pratt County, Kansas",3937,4761,540.3932,675
"Sussex County, Virginia",2718,3763,549.4602,675
"Hendry County, Florida",11254,12392,554.9004,675
"Cortland County, New York",19849,18247,605.6756,675
"Calhoun County, Alabama",44945,43509,629.2498,675
"Dearborn County, Indiana",9375,14061,685.4652,675
"Osage County, Oklahoma",5616,6740,710.8528,675
"Jackson County, West Virginia",7210,7619,739.8672,675
"Deuel County, South Dakota",933,1305,429.7758,676
"Elbert County, Colorado",1116,3206,502.3118,676
"Graham County, North Carolina",1622,1824,509.5654,676
"Greene County, Iowa",2725,3304,513.1922,676
"Carroll County, Iowa",8389,11392,520.4458,676
"Jackson County, Oklahoma",7147,9467,522.2592,676
"Nacogdoches County, Texas",19468,21693,525.886,676
"Benton County, Indiana",2303,2173,551.2736,676
"Lawrence County, Kentucky",2254,3224,558.5272,676
"Phelps County, Missouri",12462,17354,560.3406,676
"Buena Vista County, Iowa",7860,10829,576.6612,676
"Bedford County, Virginia",7132,18096,589.355,676
"Russell County, Alabama",12420,13423,598.422,676
"Kearny County, Kansas",1094,1342,598.422,676
"Queen Anne's County, Maryland",7391,13651,611.1158,676
"Giles County, Tennessee",7768,9849,611.1158,676
"Caroline County, Virginia",3936,5423,620.1828,676
"Harrisonburg City, Virginia",19444,30129,623.8096,676
"Henderson County, North Carolina",25766,34086,634.69,676
"Autauga County, Alabama",7758,10326,652.824,676
"Becker County, Minnesota",8369,13538,515.0056,677
"Sumter County, Alabama",4690,3040,545.8334,677
"Shannon County, South Dakota",1958,3644,562.154,677
"Polk County, Texas",6882,10964,567.5942,677
"Lake County, Oregon",2343,2306,589.355,677
"Fayette County, Pennsylvania",31685,39053,592.9818,677
"Price County, Wisconsin",5931,5513,596.6086,677
"Putnam County, Ohio",9036,11197,618.3694,677
"Dyer County, Tennessee",14635,15315,640.1302,677
"Waynesboro City, Virginia",12132,9624,779.762,677
"Swift County, Minnesota",2897,3488,476.9242,678
"Dundy County, Nebraska",658,576,491.4314,678
"Lincoln County, Nebraska",9958,14286,553.087,678
"Robertson County, Tennessee",9814,21261,560.3406,678
"Latah County, Idaho",10886,13062,565.7808,678
"Island County, Washington",10579,14889,569.4076,678
"Walton County, Georgia",8979,19857,571.221,678
"Louisa County, Iowa",3350,3605,571.221,678
"Beaufort County, South Carolina",32086,59649,573.0344,678
"Hopkins County, Texas",8808,12504,585.7282,678
"Anderson County, South Carolina",53561,62017,607.489,678
"Huron County, Michigan",9814,10651,632.8766,678
"Upshur County, West Virginia",6416,7578,636.5034,678
"Hancock County, West Virginia",16211,10009,1214.978,678
"St. John, Virgin Islands",1490,2467,547.6468,679
"Lamar County, Alabama",5719,3273,558.5272,679
"Navarro County, Texas",12077,16592,585.7282,679
"Effingham County, Illinois",16172,19989,611.1158,679
"Caledonia County, Vermont",9638,10585,612.9292,679
"Klamath County, Oregon",19844,21236,636.5034,679
"Ashtabula County, Ohio",29110,29253,638.3168,679
"Henry County, Illinois",14163,13805,533.1396,680
"Daggett County, Utah",257,321,538.5798,680
"Umatilla County, Oregon",19968,28216,582.1014,680
"Green County, Wisconsin",11775,15256,582.1014,680
"Franklin County, Missouri",27063,36955,583.9148,680
"Comanche County, Oklahoma",33671,43150,591.1684,680
"Jessamine County, Kentucky",7378,15743,605.6756,680
"Cowley County, Kansas",14233,14007,609.3024,680
"Mifflin County, Pennsylvania",15869,15468,661.891,680
"Schuyler County, New York",3956,4505,667.3312,680
"Upshur County, Texas",4936,6703,480.551,681
"Warren County, Georgia",1691,1466,484.1778,681
"Alamosa County, Colorado",4926,7607,516.819,681
"Page County, Iowa",6174,6310,531.3262,681
"Hardin County, Iowa",6674,7125,540.3932,681
"Morrow County, Ohio",5366,5075,554.9004,681
"Arkansas County, Arkansas",8330,9936,578.4746,681
"Laurens County, Georgia",16504,17318,609.3024,681
"Lincoln Parish, Louisiana",14018,17808,611.1158,681
"Lavaca County, Texas",4716,5570,446.0964,682
"Clearwater County, Minnesota",1735,2589,469.6706,682
"Walsh County, North Dakota",4853,4948,484.1778,682
"Crockett County, Tennessee",3369,3571,504.1252,682
"Armstrong County, Texas",329,350,533.1396,682
"Montrose County, Colorado",8128,13658,571.221,682
"Calumet County, Wisconsin",10106,13162,656.4508,682
"Stevens County, Washington",7361,9556,658.2642,682
"Lake County, South Dakota",3609,4887,500.4984,683
"Adams County, Iowa",1464,1282,504.1252,683
"Sumter County, Florida",6387,26115,545.8334,683
"Ellis County, Kansas",10555,15418,549.4602,683
"Dona Ana County, New Mexico",42120,69695,598.422,683
"Clallam County, Washington",16892,21492,627.4364,683
"Fulton County, New York",16503,16963,627.4364,683
"Calaveras County, California",6221,8294,634.69,683
"Lapeer County, Michigan",16428,20247,690.9054,683
"Henry County, Georgia",13180,52437,714.4796,683
"Alpine County, California",1243,528,447.9098,684
"Aransas County, Texas",3794,6278,525.886,684
