county,employment_1990,employment_2015,wages_1990,wages_2015
"Elliott County, Kentucky",485,913,455.1634,529
"Bates County, Missouri",3146,3595,466.0438,529
"Long County, Georgia",367,925,476.9242,529
"Lafayette County, Florida",1120,1506,496.8716,529
"Bleckley County, Georgia",3249,2553,551.2736,529
"Chase County, Kansas",749,671,384.4408,530
"Emporia City, Virginia",3564,3168,471.484,530
"Sierra County, New Mexico",2032,3241,482.3644,530
"Floyd County, Virginia",2000,2801,495.0582,530
"Starke County, Indiana",4430,4294,487.8046,531
"Huerfano County, Colorado",1160,1555,491.4314,531
"Madison Parish, Louisiana",2596,3291,433.4026,532
"Benton County, Missouri",2536,3419,446.0964,532
"Westmoreland County, Virginia",3043,3129,466.0438,532
"Crawford County, Indiana",1423,1945,471.484,532
"Quay County, New Mexico",3263,2604,556.7138,532
"Quitman County, Mississippi",1904,1105,444.283,533
"Franklin Parish, Louisiana",4288,4669,451.5366,533
"Van Buren County, Iowa",1711,2071,455.1634,533
"Lamar County, Mississippi",6223,18186,571.221,533
"Greeley County, Nebraska",630,605,382.6274,534
"Monroe County, Kentucky",3708,3059,422.5222,534
"Houston County, Tennessee",1382,1498,460.6036,534
"Carroll County, Virginia",5052,6127,489.618,534
"Clinton County, Kentucky",2017,3740,384.4408,535
"Lake County, Tennessee",1530,1921,420.7088,535
"West Carroll Parish, Louisiana",2109,2225,426.149,535
"Sequatchie County, Tennessee",2281,2709,446.0964,535
"Holmes County, Mississippi",3984,3656,455.1634,535
"Wheeler County, Oregon",255,300,467.8572,535
"Wayne County, Utah",463,753,413.4552,536
"Wayne County, Kentucky",4252,5168,418.8954,536
"Chouteau County, Montana",1084,1136,466.0438,536
"Deuel County, Nebraska",622,548,467.8572,536
"Liberty County, Montana",441,480,496.8716,536
"Brule County, South Dakota",1704,1818,413.4552,537
"Bayfield County, Wisconsin",2988,3503,440.6562,537
"Polk County, Arkansas",4887,5945,455.1634,537
"Chicot County, Arkansas",3608,3235,473.2974,537
"Christian County, Missouri",6594,16441,495.0582,537
"Franklin County, Indiana",2717,4449,556.7138,537
"Perkins County, South Dakota",1288,1122,391.6944,538
"Webster County, Nebraska",895,1054,391.6944,538
"Kane County, Utah",1358,2785,404.3882,538
"De Baca County, New Mexico",456,466,415.2686,538
"Lewis County, Kentucky",2333,1996,426.149,538
"Sheridan County, Nebraska",1767,1741,426.149,538
"Lyman County, South Dakota",869,1322,469.6706,538
"Oscoda County, Michigan",1416,1507,476.9242,538
"Lincoln County, Georgia",1713,1297,447.9098,539
"Jefferson County, Idaho",3354,5739,453.35,539
"Brantley County, Georgia",1327,2073,531.3262,539
"Texas County, Missouri",5700,5713,460.6036,540
"Gem County, Idaho",2447,3307,549.4602,540
"Fannin County, Georgia",3358,5565,469.6706,541
"Larue County, Kentucky",1892,2601,471.484,541
"Humacao Municipio, Puerto Rico",17672,16705,241.1822,542
"Putnam County, Missouri",1052,1017,393.5078,542
"Gasconade County, Missouri",4673,5123,462.417,542
"Webster County, Mississippi",2930,1934,462.417,542
"Todd County, Kentucky",2669,2238,467.8572,542
"Taney County, Missouri",7548,24719,504.1252,542
"Aguadilla Municipio, Puerto Rico",13494,17757,242.9956,543
"Moniteau County, Missouri",3750,4063,442.4696,543
"Russell County, Kentucky",6542,5254,446.0964,543
"Noxubee County, Mississippi",2499,2478,449.7232,544
"Wilkinson County, Mississippi",2100,1732,455.1634,544
"Lawrence County, Arkansas",4723,4076,467.8572,544
"Colonial Heights City, Virginia",6454,10918,475.1108,544
"Evans County, Georgia",3270,4315,478.7376,544
"Saluda County, South Carolina",3770,4498,480.551,544
"Ogemaw County, Michigan",3930,5708,553.087,544
"Walthall County, Mississippi",2680,2524,427.9624,545
"Polk County, Tennessee",2592,2147,496.8716,545
"Cass County, Minnesota",4919,8968,513.1922,545
"Quitman County, Georgia",155,388,569.4076,545
"Hand County, South Dakota",1077,1305,417.082,546
"Perry County, Alabama",2817,2095,462.417,546
"Avery County, North Carolina",5726,6310,480.551,546
"Union Parish, Louisiana",3440,4782,511.3788,546
"Lincoln County, New Mexico",3916,6188,522.2592,546
"Howard County, Arkansas",7256,7274,540.3932,546
"Ben Hill County, Georgia",6340,5580,565.7808,546
"Greene County, Mississippi",1284,1975,404.3882,547
"Knox County, Nebraska",2160,2873,417.082,547
"Dawes County, Nebraska",2544,3281,469.6706,547
"Harlan County, Nebraska",880,803,415.2686,548
"Decatur County, Iowa",2265,2342,466.0438,548
"Attala County, Mississippi",5369,4479,476.9242,548
"Andrew County, Missouri",1902,2360,484.1778,548
"Saguache County, Colorado",928,1492,484.1778,548
"Monroe County, Missouri",2644,2021,554.9004,548
"Las Piedras Municipio, Puerto Rico",5582,6311,253.876,549
"Logan County, North Dakota",535,658,373.5604,549
"Calhoun County, Mississippi",4149,3123,464.2304,549
"Taos County, New Mexico",7860,10647,475.1108,549
"Camden County, Missouri",9433,14717,478.7376,549
"Union County, Tennessee",1971,2222,487.8046,549
"Izard County, Arkansas",2774,3094,496.8716,549
"Marion County, Texas",1896,1976,504.1252,549
"Dillon County, South Carolina",9066,8343,507.752,549
"Powder River County, Montana",430,501,409.8284,550
"Marion County, Georgia",1653,1385,415.2686,550
"Pickett County, Tennessee",1143,1014,417.082,550
"Greenwood County, Kansas",1946,1665,453.35,550
"Tishomingo County, Mississippi",5008,5577,458.7902,550
"Cannon County, Tennessee",2031,2026,487.8046,550
"Parke County, Indiana",2945,2891,520.4458,550
"Gregory County, South Dakota",1176,1409,404.3882,551
"Cherokee County, North Carolina",7287,7800,496.8716,551
"Ionia County, Michigan",13979,19709,716.293,551
"Nuckolls County, Nebraska",1691,1412,442.4696,552
"Randolph County, Georgia",2363,1886,455.1634,552
"Galax City, Virginia",9699,6221,466.0438,552
"Bertie County, North Carolina",6680,6344,498.685,552
"Sanders County, Montana",2053,2594,507.752,552
"Levy County, Florida",5624,8635,515.0056,552
"Gilmer County, Georgia",4982,7037,529.5128,552
"Calhoun County, Florida",2502,2899,534.953,552
"Menard County, Illinois",1618,1804,565.7808,552
"Custer County, Colorado",302,816,395.3212,553
"Tyrrell County, North Carolina",675,993,406.2016,553
"Cumberland County, Virginia",851,1301,429.7758,553
"Prentiss County, Mississippi",8108,7117,480.551,553
"Red River County, Texas",3237,2484,455.1634,554
"Miller County, Georgia",1175,1645,473.2974,554
"Logan County, Arkansas",5243,5453,478.7376,554
"Warren County, North Carolina",3776,3323,511.3788,554
"Madison County, Idaho",6767,13232,513.1922,554
"Johnson County, Georgia",2368,1629,369.9336,555
"Casey County, Kentucky",2742,3765,440.6562,555
"Hardee County, Florida",7619,8279,453.35,555
"Pushmataha County, Oklahoma",1900,2885,456.9768,555
"Rabun County, Georgia",4090,4326,500.4984,556
"Polk County, North Carolina",3411,4777,505.9386,556
"Poquoson City, Virginia",1274,1622,516.819,556
"Miller County, Missouri",5987,6248,531.3262,556
"Sanpete County, Utah",3908,6906,406.2016,557
"Hinsdale County, Colorado",112,230,440.6562,557
"Cheyenne County, Kansas",857,868,444.283,557
"Webster County, Missouri",4596,6605,473.2974,557
"Arenac County, Michigan",3369,4059,480.551,557
"Colfax County, New Mexico",4366,4899,527.6994,557
"Jasper County, Georgia",1892,2080,641.9436,557
"McPherson County, Nebraska",60,84,328.2254,558
"Clark County, South Dakota",869,987,418.8954,558
"Delaware County, Oklahoma",4134,8482,442.4696,558
"Hodgeman County, Kansas",454,508,476.9242,558
"McDonald County, Missouri",4713,7106,480.551,558
"Atoka County, Oklahoma",2616,3244,496.8716,558
"Bledsoe County, Tennessee",1607,2099,496.8716,558
"Franklin County, Florida",2022,3256,498.685,558
"Dooly County, Georgia",2627,2886,504.1252,558
"Osage County, Missouri",2299,3574,507.752,558
"Powell County, Kentucky",2049,2428,511.3788,558
"Wilkes County, Georgia",3698,2860,529.5128,558
"Tippah County, Mississippi",7055,6543,531.3262,558
"Washington County, Idaho",2127,2705,438.8428,559
"Mississippi County, Missouri",4134,3889,446.0964,559
"Lafayette County, Missouri",7881,8313,475.1108,559
"Wirt County, West Virginia",637,542,475.1108,559
"Iroquois County, Illinois",7345,7790,498.685,559
"Scott County, Tennessee",5028,5267,518.6324,559
"San Miguel County, New Mexico",6588,8281,544.02,559
"Stokes County, North Carolina",5455,6948,612.9292,559
"Roscommon County, Michigan",4043,4840,456.9768,560
"Vilas County, Wisconsin",4496,6663,460.6036,560
"Carroll County, Missouri",2293,2405,473.2974,560
"Fleming County, Kentucky",2882,3025,476.9242,560
"Gates County, North Carolina",1306,1402,496.8716,560
"Cleburne County, Arkansas",4738,6565,502.3118,560
"Dodge County, Georgia",4295,4969,502.3118,560
"St. Francois County, Missouri",14907,22377,505.9386,560
"Morehouse Parish, Louisiana",7825,6784,603.8622,560
"Carbon County, Montana",1630,2618,424.3356,561
"Trousdale County, Tennessee",2182,1493,426.149,561
"Macon County, Tennessee",4261,4464,460.6036,561
"Jones County, South Dakota",342,387,471.484,561
"Okfuskee County, Oklahoma",2248,2374,487.8046,561
"McNairy County, Tennessee",6805,5784,511.3788,561
"Sunflower County, Mississippi",12006,8295,513.1922,561
"Okanogan County, Washington",12435,16111,542.2066,561
"Dallas County, Arkansas",3416,2716,542.2066,561
"Judith Basin County, Montana",380,486,442.4696,562
"Page County, Virginia",5286,4968,504.1252,562
"Pine County, Minnesota",4621,7751,507.752,562
"Iron County, Wisconsin",1622,1538,391.6944,563
"Nowata County, Oklahoma",1623,1781,458.7902,563
"Summers County, West Virginia",1887,2099,476.9242,563
"Trigg County, Kentucky",2549,3083,522.2592,563
"Walworth County, South Dakota",1993,2169,438.8428,564
"Jackson County, Kansas",2416,4157,456.9768,564
"Conejos County, Colorado",1186,1376,511.3788,564
"Madison County, Georgia",2077,2970,538.5798,564
"Cheboygan County, Michigan",5330,5434,573.0344,564
"Gentry County, Missouri",1592,2234,413.4552,565
"Eddy County, North Dakota",679,734,442.4696,565
"Gove County, Kansas",1009,1243,446.0964,565
"Benton County, Tennessee",3925,3956,495.0582,565
"Houston County, Minnesota",3819,4787,518.6324,565
"Weakley County, Tennessee",10612,10604,522.2592,565
"Orange County, Indiana",6254,7492,525.886,565
"Rockcastle County, Kentucky",2962,3477,444.283,566
"Catahoula Parish, Louisiana",1858,2051,467.8572,566
"Lemhi County, Idaho",1751,2067,493.2448,566
"Morgan County, Kentucky",2187,2924,500.4984,566
"Cook County, Minnesota",1564,2591,500.4984,566
"Colleton County, South Carolina",10261,10280,536.7664,566
"Mora County, New Mexico",462,705,573.0344,566
"Ontonagon County, Michigan",3215,1331,765.2548,566
"Meigs County, Ohio",4747,3455,816.03,566
"Gurabo Municipio, Puerto Rico",3361,6372,328.2254,567
